,modelo_id,modelo,marca,comb,version,engine,category,transmission_type,doors,hp,valves
0,1,Integra GS 1.8,Acura,Gasolina,1.8,,,,,,
1,4564,MARRUÁ AM 100 2.8  CS TDI Diesel,Agrale,Diesel,2.8,Diesel,,,,,
2,4568,MARRUÁ AM 200 2.8 CS TDI Diesel,Agrale,Diesel,2.8,Diesel,,,,,
4,27,Hi-Topic STD Diesel,Asia Motors,Diesel,,Diesel,,,,,
5,6906,DB9 Coupe 6.0 V12 510cv,ASTON MARTIN,Gasolina,6.0,Other,Coupe,,,5,
6,45,100 S-4 2.2 Avant Turbo,Audi,Gasolina,2.2,Turbo,MPV,,,,
7,6200,A1 Sportback 1.4 TFSI 5p S-tronic,Audi,Gasolina,1.4,,Sport,,5,,
9,55,A3 1.6 5p Aut.,Audi,Gasolina,1.6,,,Auto,5,,
10,58,A3 1.8 5p Aut.,Audi,Gasolina,1.8,,,Auto,5,,
12,64,A3 1.8 Turbo 3p Aut.,Audi,Gasolina,1.8,Turbo,,Auto,3,,
13,8561,A3 Sedan Prestige 1.4 TFSI Flex Tip.,Audi,Gasolina,1.4,Flex,Sedan,,,,
14,5125,A3 Sport 2.0 16V TFSI S- tronic,Audi,Gasolina,2.0,Other,Sport,,,,16
15,71,A4 1.8 Avant Mec.,Audi,Gasolina,1.8,,MPV,Manual,,,
17,75,A4 1.8 Turbo,Audi,Gasolina,1.8,Turbo,,,,,
18,80,A4 2.4 30V Tip./Multitronic,Audi,Gasolina,2.4,,,,,,30
19,87,A4 2.8 30V Mec.,Audi,Gasolina,2.8,,,Manual,,,30
20,95,A4 3.0 30V 218cv Multitronic 4p,Audi,Gasolina,3.0,,,,4,2,30
21,100,A6 2.4 30V Mec,Audi,Gasolina,2.4,,,Manual,,,30
25,101,A6 2.4 30V Tip./Multitronic,Audi,Gasolina,2.4,,,,,,30
30,102,A6 2.4 Avant 30V Mec.,Audi,Gasolina,2.4,,MPV,Manual,,,30
33,103,A6 2.4 Avant 30V Tip./ Multitronic,Audi,Gasolina,2.4,,MPV,,,,30
34,112,A6 2.8,Audi,Gasolina,2.8,,,,,,
35,115,A6 2.8 Avant,Audi,Gasolina,2.8,,MPV,,,,
36,6414,A6 3.0 TFSI V6 Quattro S tronic 4p,Audi,Gasolina,3.0,V6/V8,,,4,,
37,6462,A6 Allroad 3.0 TFSI V6 Quattro S tronic,Audi,Gasolina,3.0,V6/V8,,,,,
38,5549,A7 Sportback 3.0 TFSI Quattro S Tronic,Audi,Gasolina,3.0,,Sport,,,,
40,6631,A8 4.0 TFSI Quattro Tiptronic,Audi,Gasolina,4.0,,,,,,
41,6044,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,Audi,Gasolina,2.0,,,,5,1,
42,8230,Q3 Black Ed. 1.4 TFSI Flex/Black S-tron.,Audi,Gasolina,1.4,Flex,,,,,
43,8036,Q5 Ambiente 2.0 TFSI Quattro S tronic,Audi,Gasolina,2.0,,,,,,
44,10045,Q5 Perf. Black 2.0 TFSIe S.Tr. Qt (Hib.),Audi,Gasolina,2.0,,,,,,
45,8773,Q5 S-Line 2.0 TFSI Quattro S-tronic,Audi,Gasolina,2.0,,,,,,
47,9486,Q5 S-Line Black 2.0 TFSI Quat. S-Tronic,Audi,Gasolina,2.0,,,,,,
50,5922,RS3 Sportback 2.5 TFSI Quattro S-tronic,Audi,Gasolina,2.5,,Sport,,,,
51,6487,RS4 4.2 Avant 32V FSI Quattro S-tronic,Audi,Gasolina,4.2,,MPV,,,,32
53,5410,RS5 4.2 FSI V8 450cv Quattro S-Tron. 2p,Audi,Gasolina,4.2,V6/V8,,,2,4,
55,10227,RS6 4.0 Avant TFSI BI-TB Quat.Tip.(Hib.),Audi,Gasolina,4.0,,MPV,,,,
56,6769,S Q5 3.0 V6 TFSI 354cv Quattro Tiptronic,Audi,Gasolina,3.0,V6/V8,,,,3,
57,139,S6 2.2 Avant 20V TB,Audi,Gasolina,2.2,,MPV,,,,20
58,148,S8 4.2 Tiptronic,Audi,Gasolina,4.2,,,,,,
59,151,TT Roadster 1.8 TB Quattro 225cv (Conv.),Audi,Gasolina,1.8,,,,,2,
60,8275,Buggy 1.6/ TST/ RS 1.6 4-Lug.,Baby,Gasolina,1.6,,,,,,
65,153,120iA 2.0 16V 150cv/ 156cv 5p,BMW,Gasolina,2.0,Other,,,5,1,16
66,4199,130iA 3.0 24V 265cv 5p,BMW,Gasolina,3.0,,,,5,2,24
67,5607,318iA 2.0 16V 136cv 5p,BMW,Gasolina,2.0,Other,,,5,1,16
68,158,318iS/ISA 1.9 16V,BMW,Gasolina,1.9,Other,,,,,16
73,159,318Ti Compact Mec,BMW,Gasolina,,,,Manual,,,
77,160,318Ti/TiA Compact 1.9 16V,BMW,Gasolina,1.9,Other,,,,,16
78,7256,320iA 2.0 TB M Sport A.Flex/M.Sport 4p,BMW,Gasolina,2.0,Flex,Sport,,4,,
79,6091,320iA Modern/Sport TB 2.0/A.Flex/GP 4p,BMW,Gasolina,2.0,Flex,Sport,,4,,
81,185,328i Touring/Sport,BMW,Gasolina,,,Sport,,,,
84,188,328i/iA Cabrio,BMW,Gasolina,,,,,,,
85,6633,328iA GT M Sport 2.0 Turbo 16V 245cv 5p,BMW,Gasolina,2.0,Turbo,Sport,,5,2,16
86,6049,328iA Sport 2.0 16V/2.0 16V Flex 4p,BMW,Gasolina,2.0,Other,Sport,,4,,16
87,191,330Ci Cabriolet,BMW,Gasolina,,,,,,,
88,9956,330e M Sport 2.0 Turbo Aut. (Híbrido),BMW,Gasolina,2.0,Turbo,Sport,Auto,,,
89,194,330iA MotorSport 4p,BMW,Gasolina,,,Sport,,4,,
90,195,330iA Top 4p,BMW,Gasolina,,,,,4,,
91,201,528iA Touring,BMW,Gasolina,,,,,,,
92,7919,540i M Sport 3.0 Turbo 340cv Aut.,BMW,Gasolina,3.0,Turbo,Sport,Auto,,3,
93,207,540iA,BMW,Gasolina,,,,,,,
95,6378,640i Gran Coupe 3.0 320cv 4p,BMW,Gasolina,3.0,,Coupe,,4,3,
96,6634,650i Gran Coupe 4.4 V8 450cv 4p,BMW,Gasolina,4.4,V6/V8,Coupe,,4,4,
97,216,740i,BMW,Gasolina,,,,,,,
98,221,750i,BMW,Gasolina,,,,,,,
99,225,840Ci,BMW,Gasolina,,,,,,,
100,11104,iX 2 xDrive 30 M Sport (Elétrico),BMW,Gasolina,,Electric,Sport,,,,
102,9103,M2 Competition Ed. Espe. 3.0 Bi-TB Mec.,BMW,Gasolina,3.0,,,Manual,,,
103,10825,M2 Coupe 3.0 Bi-Turbo 24V 3p,BMW,Gasolina,3.0,Turbo,Coupe,,3,,24
104,7130,M3 Sedan 3.0 Bi-Turbo 24V 4p,BMW,Gasolina,3.0,Turbo,Sedan,,4,,24
105,4823,M3 Sedan 4.0 32V,BMW,Gasolina,4.0,,Sedan,,,,32
106,7116,M4 Coupe 3.0 Bi-Turbo 24V 431cv 2p,BMW,Gasolina,3.0,Turbo,Coupe,,2,4,24
107,237,M5 5.0 32V/ 40V,BMW,Gasolina,5.0,,,,,,32
108,8570,X1 SDRIVE 20i X-Line 2.0 TB Active Flex,BMW,Gasolina,2.0,Flex,,,,,
110,9797,X3 M40i 3.0 Turbo V6  Aut.,BMW,Gasolina,3.0,Turbo,,Auto,,,
111,6417,X3 XDRIVE 20i 2.0/X-Line Bi-TB Flex Aut.,BMW,Gasolina,2.0,Flex,,Auto,,,
113,4331,X5 Sport 4.8 4x4 V8 32V 355cv,BMW,Gasolina,4.8,V6/V8,Sport,,,3,32
114,5356,X5 XDRIVE 35i 3.0 306cv Bi-Turbo,BMW,Gasolina,3.0,Turbo,,,,3,
116,6911,X5 XDRIVE 35i Full 3.0 306cv Bi-Turbo,BMW,Gasolina,3.0,Turbo,,,,3,
120,10079,X5 XDRIVE 45e 3.0 M.Sport  Aut. (Híb.),BMW,Gasolina,3.0,,Sport,Auto,,,
121,5590,X5 XDRIVE 50i Security 4.4 Bi-Turbo,BMW,Gasolina,4.4,Turbo,,,,,
122,249,Z3 Roadster 1.9 Mec.,BMW,Gasolina,1.9,,,Manual,,,
123,251,Z4 Roadster 3.0 V6 24V Aut.,BMW,Gasolina,3.0,V6/V8,,Auto,,,24
124,8689,Z4 Roadster sDRIVE 30i MSport 2.0 TB Aut,BMW,Gasolina,2.0,,Sport,Auto,,,
125,255,Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V,BRM,Gasolina,1.6,Other,,,,,8
128,9860,Han EV  (Elétrico),BYD,Gasolina,,Electric,,,,,
129,5021,Tiggo 2.0 16V Mec. 5p,Caoa Chery/Chery,Gasolina,2.0,Other,,Manual,5,,16
131,9162,Tiggo 8 TXS 1.6 16V TGDi Aut.,Caoa Chery/Chery,Gasolina,1.6,Other,,Auto,,,16
132,4396,Utility 1.0 8V 53cv  (Furgão),CHANA,Gasolina,1.0,Other,,,,5,8
133,3881,300 C 5.7 V8 16V 340cv Aut.,Chrysler,Gasolina,5.7,V6/V8,,Auto,,3,16
134,266,Grand Caravan SE 3.3 V6,Chrysler,Gasolina,3.3,V6/V8,,,,,
135,271,LE Baron 3.0 V6 Conv.,Chrysler,Gasolina,3.0,V6/V8,,,,,
136,273,Neon LE/Highline 2.0,Chrysler,Gasolina,2.0,,,,,,
137,275,PT Cruiser Limited 2.0 16V 4p,Chrysler,Gasolina,2.0,Other,,,4,,16
139,278,Stratus LE 2.0,Chrysler,Gasolina,2.0,,,,,,
