fipe_cod,tabela_id,anoref,mesref,tipo,marca_id,marca,modelo_id,modelo,anomod,comb_cod,comb_sigla,comb,valor
006005-4,310,2024,6,1,3,Alfa Romeo,16,164 3.0 V6,1991,1,G,Gasolina,9012
007016-5,310,2024,6,1,5,Asia Motors,30,Topic Carga 2.7 Diesel (furgão),1999,3,D,Diesel,17479
007004-1,310,2024,6,1,5,Asia Motors,35,Towner Glass Van,1993,1,G,Gasolina,3378
008031-4,310,2024,6,1,6,Audi,45,100 S-4 2.2 Avant Turbo,1994,1,G,Gasolina,21984
008005-5,310,2024,6,1,6,Audi,56,A3 1.8 3p,1998,1,G,Gasolina,16577
008005-5,310,2024,6,1,6,Audi,56,A3 1.8 3p,1997,1,G,Gasolina,16092
008072-1,310,2024,6,1,6,Audi,63,A3 1.8 Turbo 180cv 5p Mec.,2001,1,G,Gasolina,22710
008047-0,310,2024,6,1,6,Audi,68,A4 1.8  Aut.,1996,1,G,Gasolina,14986
008049-7,310,2024,6,1,6,Audi,73,A4 1.8 Avant Turbo Tip./ Multitronic,2016,1,G,Gasolina,97157
008049-7,310,2024,6,1,6,Audi,73,A4 1.8 Avant Turbo Tip./ Multitronic,2015,1,G,Gasolina,89054
008049-7,310,2024,6,1,6,Audi,73,A4 1.8 Avant Turbo Tip./ Multitronic,2008,1,G,Gasolina,48338
008049-7,310,2024,6,1,6,Audi,73,A4 1.8 Avant Turbo Tip./ Multitronic,2007,1,G,Gasolina,44455
008049-7,310,2024,6,1,6,Audi,73,A4 1.8 Avant Turbo Tip./ Multitronic,2006,1,G,Gasolina,43370
008049-7,310,2024,6,1,6,Audi,73,A4 1.8 Avant Turbo Tip./ Multitronic,2005,1,G,Gasolina,41632
008049-7,310,2024,6,1,6,Audi,73,A4 1.8 Avant Turbo Tip./ Multitronic,2004,1,G,Gasolina,29374
008049-7,310,2024,6,1,6,Audi,73,A4 1.8 Avant Turbo Tip./ Multitronic,2003,1,G,Gasolina,28657
008049-7,310,2024,6,1,6,Audi,73,A4 1.8 Avant Turbo Tip./ Multitronic,2002,1,G,Gasolina,27958
008049-7,310,2024,6,1,6,Audi,73,A4 1.8 Avant Turbo Tip./ Multitronic,2001,1,G,Gasolina,25261
008049-7,310,2024,6,1,6,Audi,73,A4 1.8 Avant Turbo Tip./ Multitronic,2000,1,G,Gasolina,24398
